City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,De-Kastri,RU,51.4667,140.7833,60.93,66,96,5.77,overcast clouds
1,Kruisfontein,ZA,-34.0033,24.7314,50.88,39,100,9.01,overcast clouds
2,Velsk,RU,61.0701,42.0983,55.49,76,10,6.44,clear sky
3,Bethel,US,41.3712,-73.414,67.35,90,100,6.91,overcast clouds
4,Busselton,AU,-33.65,115.3333,67.12,77,3,25.14,light rain
5,Vadso,NO,70.0744,29.7487,40.08,81,75,10.36,broken clouds
6,Teya,RU,60.3778,92.6267,58.96,97,100,2.06,light rain
7,Jati,PK,24.3539,68.2671,87.75,65,5,20.47,clear sky
8,Atuona,PF,-9.8,-139.0333,78.08,69,0,19.35,clear sky
9,Butaritari,KI,3.0707,172.7902,82.71,74,19,13.85,few clouds
10,Port Alfred,ZA,-33.5906,26.891,54.43,54,62,10.22,broken clouds
11,Lagoa,PT,39.05,-27.9833,65.3,89,0,7.96,clear sky
12,Kushiro,JP,42.975,144.3747,70.75,73,40,11.5,scattered clouds
13,Mar Del Plata,AR,-38.0023,-57.5575,42.1,91,40,2.3,fog
14,Yellowknife,CA,62.456,-114.3525,59.56,55,40,8.05,scattered clouds
15,Foz,ES,43.5692,-7.2544,62.42,97,80,1.77,broken clouds
16,East London,ZA,-33.0153,27.9116,53.62,49,81,9.53,broken clouds
17,Cape Town,ZA,-33.9258,18.4232,61.21,52,0,13.8,clear sky
18,Gamba,GA,-2.65,10.0,70.38,89,100,3.33,overcast clouds
19,Kapaa,US,22.0752,-159.319,82.38,81,100,17.27,light rain
20,Cherskiy,RU,68.75,161.3,56.41,32,67,12.12,broken clouds
21,Shache,CN,38.4167,77.2406,81.43,18,33,17.94,scattered clouds
22,Coihaique,CL,-45.5752,-72.0662,38.01,75,75,3.44,broken clouds
23,Punta Arenas,CL,-53.15,-70.9167,33.91,75,75,23.02,broken clouds
24,Ushuaia,AR,-54.8,-68.3,24.13,93,83,6.13,broken clouds
25,Skjervoy,NO,70.0311,20.9714,45.37,75,6,2.01,clear sky
26,Tasiilaq,GL,65.6145,-37.6368,35.76,98,100,2.15,light rain
27,Hilo,US,19.7297,-155.09,80.33,71,100,8.05,overcast clouds
28,Albany,US,42.6001,-73.9662,68.41,84,100,7.18,overcast clouds
29,Iwakuni,JP,34.15,132.1833,78.28,69,40,6.91,haze
30,Irbit,RU,57.6705,63.071,68.49,71,1,1.43,clear sky
31,Hobart,AU,-42.8794,147.3294,52.27,87,75,9.22,moderate rain
32,Iqaluit,CA,63.7506,-68.5145,37.13,64,75,15.01,broken clouds
33,Grand-Santi,GF,4.25,-54.3833,71.89,99,100,1.88,overcast clouds
34,Trincomalee,LK,8.5711,81.2335,81.39,74,100,15.32,overcast clouds
35,Svetlyy,RU,54.675,20.1347,57.25,88,8,5.99,clear sky
36,Jardim,BR,-21.4803,-56.1381,69.55,70,0,3.36,clear sky
37,Acapulco,MX,16.8634,-99.8901,76.82,83,100,0.0,overcast clouds
38,Baykit,RU,61.67,96.37,74.43,61,97,10.07,light rain
39,Campo Largo,BR,-25.4586,-49.5283,56.66,88,34,3.62,scattered clouds
40,Nanakuli,US,21.3906,-158.1547,81.77,61,40,10.36,scattered clouds
41,Kattivakkam,IN,13.2167,80.3167,87.89,76,84,10.71,broken clouds
42,Luganville,VU,-15.5333,167.1667,82.98,73,97,9.01,overcast clouds
43,Barrow,US,71.2906,-156.7887,50.02,66,0,9.22,clear sky
44,Mataura,NZ,-46.1927,168.8643,46.47,73,6,1.14,clear sky
45,Tateyama,JP,34.9833,139.8667,76.1,86,100,17.16,heavy intensity rain
46,Nesebar,BG,42.7833,27.7333,56.35,62,1,3.78,clear sky
47,Voh,NC,-20.9667,164.7,82.98,66,100,5.59,overcast clouds
48,Kaitangata,NZ,-46.2817,169.8464,46.11,64,12,2.64,few clouds
49,Jamestown,US,42.097,-79.2353,76.71,89,0,8.99,clear sky
50,Casablanca,MA,33.5928,-7.6192,73.33,73,7,4.0,clear sky
51,Qaanaaq,GL,77.484,-69.3632,31.62,79,22,4.45,few clouds
52,Tiksi,RU,71.6872,128.8694,34.52,77,13,7.76,few clouds
53,Rikitea,PF,-23.1203,-134.9692,72.59,64,60,2.46,broken clouds
54,Northam,GB,51.0333,-4.2167,63.39,62,97,10.4,overcast clouds
55,New Norfolk,AU,-42.7826,147.0587,51.93,71,100,2.84,overcast clouds
56,Pitimbu,BR,-7.4706,-34.8086,73.99,93,30,10.58,scattered clouds
57,Thompson,CA,55.7435,-97.8558,46.56,66,20,11.5,few clouds
58,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,6.91,broken clouds
59,Villa Carlos Paz,AR,-31.4241,-64.4978,46.38,50,65,2.17,broken clouds
60,Tacuati,PY,-23.45,-56.5833,69.85,87,32,4.41,scattered clouds
61,Kjollefjord,NO,70.9457,27.3465,39.25,81,100,8.05,overcast clouds
62,Grajau,BR,-5.8194,-46.1386,76.41,73,100,2.68,overcast clouds
63,Geraldton,AU,-28.7667,114.6,68.41,94,100,20.71,overcast clouds
64,Kurya,RU,51.6003,82.2888,62.91,71,80,14.05,broken clouds
65,Springbok,ZA,-29.6643,17.8865,49.19,34,30,4.94,scattered clouds
66,Bredasdorp,ZA,-34.5322,20.0403,50.38,46,64,5.75,broken clouds
67,Nikolskoye,RU,59.7035,30.7861,55.87,75,100,6.51,overcast clouds
68,Hamilton,US,39.1834,-84.5333,83.5,82,0,6.91,clear sky
69,Hermanus,ZA,-34.4187,19.2345,52.81,47,34,6.49,scattered clouds
70,Gat,IL,31.61,34.7642,75.81,100,0,3.15,clear sky
71,Neiafu,TO,-18.65,-173.9833,83.08,65,40,14.97,scattered clouds
72,Blagoyevo,RU,63.3667,47.9167,59.61,64,14,6.13,few clouds
73,Itaituba,BR,-4.2761,-55.9836,68.5,79,2,0.83,clear sky
74,Jalu,LY,29.0331,21.5482,76.39,46,2,10.85,clear sky
75,Zhicheng,CN,30.2956,111.5047,86.59,54,94,5.14,overcast clouds
76,Ilhabela,BR,-23.7781,-45.3581,63.77,84,0,5.66,clear sky
77,Anori,BR,-3.7728,-61.6442,71.51,97,44,0.83,scattered clouds
78,Faanui,PF,-16.4833,-151.75,80.29,72,2,14.81,clear sky
79,Inongo,CD,-1.95,18.2667,68.47,96,100,3.53,overcast clouds
80,Pevek,RU,69.7008,170.3133,34.05,79,16,9.15,few clouds
81,Chokurdakh,RU,70.6333,147.9167,48.81,51,79,11.72,broken clouds
82,Turayf,SA,31.6725,38.6637,77.25,33,0,6.91,clear sky
83,Georgetown,MY,5.4112,100.3354,84.13,87,20,2.3,few clouds
84,Maceio,BR,-9.6658,-35.7353,71.04,94,75,3.44,broken clouds
85,Souillac,MU,-20.5167,57.5167,66.58,94,20,5.75,few clouds
86,Altay,CN,47.8667,88.1167,68.67,35,82,10.58,broken clouds
87,Mattru,SL,7.6244,-11.8332,72.97,98,100,6.08,heavy intensity rain
88,Oktyabrskiy,RU,54.4815,53.471,65.73,83,34,3.67,scattered clouds
89,Camacha,PT,33.0833,-16.3333,62.02,94,20,11.5,few clouds
90,Kodiak,US,57.79,-152.4072,56.71,67,100,9.22,overcast clouds
91,Barcelona,ES,41.3888,2.159,84.87,39,0,5.75,clear sky
92,Orje,NO,59.4802,11.6602,51.13,89,9,0.96,clear sky
93,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,36,20,16.11,few clouds
94,Castro,BR,-24.7911,-50.0119,55.24,83,39,4.36,scattered clouds
95,Paamiut,GL,61.994,-49.6678,38.3,77,100,17.38,light rain
96,Fairbanks,US,64.8378,-147.7164,72.61,50,75,10.36,broken clouds
97,Sibolga,ID,1.7427,98.7792,79.95,77,100,1.97,overcast clouds
98,Torbay,CA,47.6666,-52.7314,49.28,84,0,5.01,clear sky
99,Raudeberg,NO,61.9875,5.1352,52.86,94,94,7.74,overcast clouds
100,South River,US,40.4465,-74.386,71.49,85,98,5.01,overcast clouds
101,Mirebalais,HT,18.8333,-72.1053,75.92,89,100,2.75,overcast clouds
102,Esperance,AU,-33.8667,121.9,69.08,68,0,16.15,clear sky
103,Haines Junction,CA,60.7522,-137.5108,71.55,26,98,1.14,overcast clouds
104,Puerto Ayora,EC,-0.7393,-90.3518,71.55,92,67,8.01,broken clouds
105,Komsomolskiy,UZ,40.4272,71.7189,72.32,53,99,2.3,overcast clouds
106,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,87,0,6.91,clear sky
107,Mingguang,CN,32.7802,117.9638,95.32,37,1,4.43,clear sky
108,Mahebourg,MU,-20.4081,57.7,69.26,94,20,5.75,few clouds
109,Dubbo,AU,-32.25,148.6167,55.53,67,100,2.3,overcast clouds
110,San Matias,BO,-16.3667,-58.4,74.34,73,24,4.99,few clouds
111,Ahipara,NZ,-35.1667,173.1667,61.3,75,100,5.26,light rain
112,Billings,US,45.7833,-108.5007,80.37,38,20,16.11,few clouds
113,Saint-Georges,GD,12.0564,-61.7485,80.28,83,20,18.41,few clouds
114,Palmer,US,42.1584,-72.3287,66.43,76,100,10.36,overcast clouds
115,Carnarvon,AU,-24.8667,113.6333,73.78,75,98,13.2,overcast clouds
116,Aden,YE,12.7794,45.0367,86.09,75,99,5.5,overcast clouds
117,Vaini,TO,-21.2,-175.2,80.76,74,40,10.36,scattered clouds
118,Ambon,ID,-3.6954,128.1814,84.34,74,40,2.3,scattered clouds
119,Tuatapere,NZ,-46.1333,167.6833,46.87,74,7,1.25,clear sky
120,Kargil,IN,34.5667,76.1,51.85,51,97,3.56,overcast clouds
121,Eirunepe,BR,-6.6603,-69.8736,71.69,96,97,2.21,overcast clouds
122,Spirit River,CA,55.7833,-118.8361,59.43,74,100,11.21,overcast clouds
123,Pemangkat,ID,1.1667,108.9667,79.39,83,100,12.19,overcast clouds
124,Wattegama,LK,6.7989,81.4808,77.76,74,100,3.98,overcast clouds
125,Praxedis Guerrero,MX,31.3667,-106.0167,87.26,24,59,13.89,broken clouds
126,Neropolis,BR,-16.4064,-49.2186,69.82,53,0,4.81,clear sky
127,Arraial Do Cabo,BR,-22.9661,-42.0278,68.81,78,0,17.27,clear sky
128,Two Hills,CA,53.7169,-111.7518,66.43,59,56,9.22,broken clouds
129,Chuy,UY,-33.6971,-53.4616,54.7,96,100,6.35,overcast clouds
130,Hay River,CA,60.8156,-115.7999,51.78,66,75,5.75,broken clouds
131,Katsuura,JP,35.1333,140.3,74.77,85,100,15.26,light rain
132,Lumajang,ID,-8.1335,113.2248,85.19,62,24,3.49,few clouds
133,Bluff,NZ,-46.6,168.3333,46.8,65,10,2.93,clear sky
134,Ribeira Grande,PT,38.5167,-28.7,66.72,89,0,2.93,clear sky
135,Saint-Joseph,RE,-21.3667,55.6167,68.38,72,2,4.99,clear sky
136,Saint-Philippe,RE,-21.3585,55.7679,69.39,75,4,8.34,clear sky
137,Vostok,RU,46.4856,135.8833,75.16,38,58,2.89,broken clouds
138,Berlevag,NO,70.8578,29.0864,40.95,81,100,11.5,overcast clouds
139,Graham,US,47.0529,-122.2943,65.34,68,0,5.99,clear sky
140,Biltine,TD,14.5333,20.9167,88.5,27,49,10.85,scattered clouds
141,Lerwick,GB,60.1545,-1.1494,53.6,96,100,16.15,light rain
142,Yarmouth,US,41.7057,-70.2286,65.14,90,100,11.5,overcast clouds
143,Saskylakh,RU,71.9167,114.0833,62.28,35,71,12.82,broken clouds
144,Brumado,BR,-14.2036,-41.6653,63.43,79,0,4.16,clear sky
145,Nantucket,US,41.2835,-70.0995,66.31,88,100,12.66,overcast clouds
146,Sungairaya,ID,0.7,108.9,77.65,91,100,6.2,overcast clouds
147,Cayenne,GF,4.9333,-52.3333,75.09,1,0,1.14,clear sky
148,Warrington,GB,53.3925,-2.5802,65.98,59,100,8.05,overcast clouds
149,Longido,TZ,-2.7333,36.6833,55.76,92,68,3.51,broken clouds
150,Klaksvik,FO,62.2266,-6.589,50.92,99,100,22.86,moderate rain
151,Dikson,RU,73.5069,80.5464,31.87,94,100,10.58,overcast clouds
152,Batemans Bay,AU,-35.7167,150.1833,59.09,54,68,8.19,broken clouds
153,Sao Filipe,CV,14.8961,-24.4956,73.72,86,58,6.29,broken clouds
154,Fortuna,US,40.5982,-124.1573,57.92,77,40,8.05,scattered clouds
155,Namibe,AO,-15.1961,12.1522,63.3,73,5,1.34,clear sky
156,Novo Aripuana,BR,-5.1206,-60.3797,72.88,93,45,1.12,scattered clouds
157,San Cristobal,VE,7.7669,-72.225,75.38,98,39,2.19,scattered clouds
158,Gwadar,PK,25.1216,62.3254,84.0,77,82,5.01,broken clouds
159,Yuzhou,CN,34.1628,113.4639,100.67,18,0,14.52,clear sky
160,Bene Ayish,IL,31.7833,34.75,76.66,79,0,2.59,clear sky
161,Airai,TL,-8.9266,125.4092,70.79,64,40,4.59,scattered clouds
162,Isangel,VU,-19.55,169.2667,80.89,80,94,13.69,overcast clouds
163,Lasa,IT,46.6166,10.7002,63.48,89,6,6.44,clear sky
164,Alyangula,AU,-13.8483,136.4192,81.09,57,91,13.02,overcast clouds
165,Avarua,CK,-21.2078,-159.775,78.85,69,20,6.91,few clouds
166,Grand Gaube,MU,-20.0064,57.6608,69.39,77,5,13.04,clear sky
167,Sakakah,SA,29.9697,40.2064,85.57,22,0,8.68,clear sky
168,Bambous Virieux,MU,-20.3428,57.7575,69.22,94,20,5.75,few clouds
169,Toro,CO,4.6117,-76.0814,74.08,98,93,1.7,overcast clouds
170,Kirakira,SB,-10.4544,161.9205,83.55,75,75,9.24,broken clouds
171,Bantou,CN,26.2151,117.4893,72.55,99,100,1.21,very heavy rain
172,Ponta Do Sol,PT,32.6667,-17.1,68.63,80,25,3.2,scattered clouds
173,Novyy Urengoy,RU,66.0833,76.6333,60.48,37,71,17.18,broken clouds
174,Port Elizabeth,ZA,-33.918,25.5701,53.1,72,0,8.05,clear sky
175,San Quintin,MX,30.4833,-115.95,63.97,79,1,5.14,clear sky
176,Jinxiang,CN,27.4327,120.6062,75.11,91,100,7.92,heavy intensity rain
177,Mount Gambier,AU,-37.8333,140.7667,53.51,94,100,8.05,overcast clouds
178,Cidreira,BR,-30.1811,-50.2056,62.31,85,100,12.03,overcast clouds
179,Acajutla,SV,13.5928,-89.8275,76.28,90,100,10.13,overcast clouds
180,Yinchuan,CN,38.4681,106.2731,85.55,20,100,8.72,overcast clouds
181,Abha,SA,18.2164,42.5053,62.85,55,0,0.0,clear sky
182,Leningradskiy,RU,69.3833,178.4167,38.7,69,85,8.39,overcast clouds
183,Constitucion,CL,-35.3333,-72.4167,48.36,83,71,7.67,broken clouds
184,Aurora,US,39.7294,-104.8319,87.01,24,40,18.41,scattered clouds
185,Kasane,BW,-17.8167,25.15,50.74,40,0,4.34,clear sky
186,Grindavik,IS,63.8424,-22.4338,48.67,87,100,12.66,light rain
187,Liku,ID,-0.7275,119.8922,85.41,66,20,1.92,few clouds
188,Bahir Dar,ET,11.5936,37.3908,63.07,79,11,2.89,few clouds
189,Znamenskoye,RU,57.1281,73.8282,63.18,60,99,11.86,overcast clouds
190,Suihua,CN,46.6406,126.9969,70.07,67,92,13.56,overcast clouds
191,Aklavik,CA,68.2191,-135.0107,72.12,37,26,5.84,scattered clouds
192,Toamasina,MG,-18.1667,49.3833,67.69,90,12,5.17,few clouds
193,Pangnirtung,CA,66.1451,-65.7125,29.48,97,96,0.34,overcast clouds
194,Aiken,US,33.5835,-81.5998,86.29,79,75,8.05,broken clouds
195,Porbandar,IN,21.6422,69.6093,85.44,74,97,12.08,overcast clouds
196,San Juan,AR,-31.5375,-68.5364,48.78,41,0,6.2,clear sky
197,Sitka,US,57.0531,-135.33,68.58,50,49,5.46,scattered clouds
198,Henties Bay,NA,-22.116,14.2845,58.84,68,2,7.65,clear sky
199,Hithadhoo,MV,-0.6,73.0833,81.91,74,99,10.4,overcast clouds
200,Hemnesberget,NO,66.2333,13.6333,51.58,92,99,2.86,overcast clouds
201,Hun,LY,29.1268,15.9477,72.45,58,0,2.06,clear sky
202,Port Hedland,AU,-20.3167,118.5667,80.65,24,68,12.66,broken clouds
203,Nemuro,JP,43.3236,145.575,54.72,96,89,4.81,overcast clouds
204,Ayagoz,KZ,47.9714,80.4392,67.69,42,2,7.29,clear sky
205,Puerto Madero,MX,14.7208,-92.4215,79.0,100,100,0.0,overcast clouds
206,Ilulissat,GL,69.2167,-51.1,39.22,75,40,10.36,scattered clouds
207,Namatanai,PG,-3.6667,152.4333,83.86,69,23,10.13,light rain
208,Araguacu,BR,-12.9306,-49.8264,79.7,40,94,1.14,overcast clouds
209,Saint George,US,37.1041,-113.5841,100.99,5,0,11.5,clear sky
210,Urubicha,BO,-15.3833,-62.95,72.79,83,87,2.44,overcast clouds
211,La Sarre,CA,48.8002,-79.1996,57.18,93,51,13.27,broken clouds
212,Panzhihua,CN,26.5851,101.7128,77.38,72,99,2.13,overcast clouds
213,Aswan,EG,24.0934,32.907,83.5,28,0,8.05,clear sky
214,Victoria,HK,22.2855,114.1577,87.85,79,100,15.99,light rain
215,Itarema,BR,-2.9248,-39.9167,74.43,86,17,10.13,few clouds
216,Pomezia,IT,41.667,12.5052,73.54,81,0,2.3,clear sky
217,Mackenzie,CA,55.2999,-123.1698,53.82,87,100,8.05,overcast clouds
218,Tevaitoa,PF,-16.7833,-151.5,79.68,75,18,14.58,few clouds
219,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,19.57,scattered clouds
220,Abhar,IR,36.1468,49.218,62.85,55,0,5.1,clear sky
221,Shimoda,JP,34.6667,138.95,74.1,79,100,13.67,moderate rain
222,Country Club,US,25.9482,-80.317,84.22,79,0,8.05,clear sky
223,Mana,GF,5.6592,-53.7767,76.44,87,99,5.66,overcast clouds
224,Riohacha,CO,11.5444,-72.9072,78.49,88,100,10.07,overcast clouds
