City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Bontang,ID,0.1333,117.5,83.35,67,100,4.5,light rain
226,Soria,ES,41.6667,-2.6667,66.11,78,74,4.23,broken clouds
227,Lamu,KE,-2.2717,40.902,77.22,83,30,15.23,scattered clouds
228,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,93,14,4.65,few clouds
229,Claremorris,IE,53.7167,-9.0,57.34,87,100,16.69,overcast clouds
230,Clarence Town,AU,-32.5833,151.7833,68.81,50,5,5.99,clear sky
231,Ayna,PE,-12.65,-73.9167,55.69,50,0,4.05,clear sky
232,Hachinohe,JP,40.5,141.5,70.61,78,51,2.21,broken clouds
233,Maldonado,UY,-34.6667,-54.9167,52.23,92,99,2.01,overcast clouds
234,Vila Velha,BR,-20.3297,-40.2925,66.15,90,20,3.44,few clouds
235,Banjar,ID,-8.19,114.9675,86.92,62,56,2.08,broken clouds
236,Kearney,US,40.6995,-99.0815,79.36,53,100,10.36,overcast clouds
237,Loralai,PK,30.3705,68.598,83.91,34,0,5.01,clear sky
238,Meulaboh,ID,4.1363,96.1285,83.12,66,71,2.55,broken clouds
239,Blind River,CA,46.1834,-82.9582,64.51,83,56,11.79,broken clouds
240,Tabou,CI,4.423,-7.3528,75.61,90,100,10.2,moderate rain
241,Pozarevac,RS,44.6153,21.1825,59.11,71,81,4.32,broken clouds
242,Samokov,BG,42.3333,23.55,50.68,89,0,3.49,clear sky
243,Itacoatiara,BR,-3.1431,-58.4442,72.66,85,8,2.55,clear sky
244,Belmonte,BR,-15.8631,-38.8828,69.39,78,40,6.26,scattered clouds
245,Zhigansk,RU,66.7697,123.3711,57.96,45,3,18.59,clear sky
246,Muravlenko,RU,63.7898,74.523,60.39,55,1,20.31,clear sky
247,Karabulak,RU,43.3036,44.8964,65.39,91,100,2.91,overcast clouds
248,Danville,US,36.586,-79.395,73.09,91,0,5.75,clear sky
249,San Martin,AR,-33.081,-68.4681,45.14,46,1,6.04,clear sky
250,Waipawa,NZ,-41.4122,175.5153,48.25,79,100,3.47,overcast clouds
251,Margate,GB,51.3813,1.3862,64.69,75,96,1.01,overcast clouds
252,Narrabri,AU,-30.3167,149.7833,61.52,59,23,1.99,few clouds
253,Sitangkai,PH,4.6628,119.3928,82.29,75,86,4.56,overcast clouds
254,Taoudenni,ML,22.6783,-3.9836,95.59,24,94,11.97,overcast clouds
255,Saint-Francois,FR,46.4154,3.9054,58.68,100,0,1.14,clear sky
256,Atherton,GB,53.5237,-2.4935,65.43,61,100,1.99,overcast clouds
257,Tocopilla,CL,-22.092,-70.1979,56.66,66,19,1.45,few clouds
258,Alice Springs,AU,-23.7,133.8833,69.22,32,0,13.8,clear sky
259,Baft,IR,29.234,56.6057,76.64,21,1,2.48,clear sky
260,La Ronge,CA,55.1001,-105.2842,57.45,77,75,11.5,broken clouds
261,Orsay,FR,48.6957,2.1873,67.19,72,0,3.44,clear sky
262,Djibo,BF,14.1022,-1.6306,80.67,60,95,6.42,overcast clouds
263,Tarauaca,BR,-8.1614,-70.7656,72.99,84,91,2.82,overcast clouds
264,Tura,IN,25.5198,90.2201,74.44,97,100,7.18,heavy intensity rain
265,Price,US,39.5994,-110.8107,88.86,5,0,11.5,clear sky
266,Adrar,MR,20.5022,-10.0711,88.09,17,0,4.27,clear sky
267,Srednekolymsk,RU,67.45,153.6833,66.92,19,9,9.93,clear sky
268,Padang,ID,-0.9492,100.3543,82.45,72,94,3.67,overcast clouds
269,Sisimiut,GL,66.9395,-53.6735,35.37,94,100,18.01,light rain
270,Olafsvik,IS,64.8945,-23.7142,49.3,78,100,11.56,overcast clouds
271,Santa Rosa,PH,14.3122,121.1114,92.08,67,96,4.21,overcast clouds
272,Cape Canaveral,US,28.4058,-80.6048,84.07,81,20,11.5,few clouds
273,Folldal,NO,62.1325,9.9968,46.49,94,52,3.27,broken clouds
274,Balabac,PH,7.9868,117.0645,86.13,67,94,9.04,overcast clouds
275,Bubaque,GW,11.2833,-15.8333,79.23,83,100,16.89,overcast clouds
276,Cabo San Lucas,MX,22.8909,-109.9124,88.9,42,40,8.05,scattered clouds
277,Sumbe,AO,-11.2061,13.8437,66.99,84,77,5.75,broken clouds
278,Gaya,IN,24.7833,85.0,91.31,55,75,11.5,haze
279,Ozernovskiy,RU,51.5,156.5167,51.78,73,47,6.62,scattered clouds
280,Monywa,MM,22.1167,95.1333,83.88,64,100,12.37,overcast clouds
281,Buta,CD,2.7858,24.73,68.63,99,99,0.4,overcast clouds
282,Bengkulu,ID,-3.8004,102.2655,82.62,69,100,3.56,overcast clouds
283,Oyama,JP,36.3,139.8,78.58,49,100,3.04,overcast clouds
284,Never,FR,46.9896,3.159,65.95,70,50,3.18,scattered clouds
285,Marsa Matruh,EG,31.3525,27.2453,68.2,88,40,6.91,scattered clouds
286,Medicine Hat,CA,50.0501,-110.6683,72.03,49,75,13.8,broken clouds
287,Ancud,CL,-41.8697,-73.8203,42.22,76,15,6.38,few clouds
288,Marolambo,MG,-20.05,48.1167,58.17,96,0,3.67,clear sky
289,Severo-Kurilsk,RU,50.6789,156.125,51.8,75,93,4.36,overcast clouds
290,Yulara,AU,-25.2406,130.9889,69.93,31,52,7.85,broken clouds
291,Birin,NP,26.8865,88.0718,67.89,86,53,3.11,broken clouds
292,Yar-Sale,RU,66.8333,70.8333,56.98,44,25,7.18,scattered clouds
293,Kavieng,PG,-2.5744,150.7967,84.65,69,27,14.47,scattered clouds
294,Chak,PK,27.8575,68.8329,87.71,51,0,9.22,haze
295,Harboore,DK,56.6175,8.1807,53.19,87,85,9.15,overcast clouds
296,Pundaguitan,PH,6.3711,126.1689,83.16,71,44,2.46,scattered clouds
297,Mombetsu,JP,44.3525,143.3525,60.82,100,75,1.14,broken clouds
298,Camana,PE,-16.6228,-72.7111,61.29,83,97,10.67,overcast clouds
299,Westport,US,41.1415,-73.3579,69.84,87,100,11.5,overcast clouds
300,Udachnyy,RU,66.4167,112.4,68.45,34,68,7.45,broken clouds
301,Beringovskiy,RU,63.05,179.3167,46.71,71,13,5.57,few clouds
302,Spartanburg,US,34.9496,-81.9321,74.55,94,0,0.0,clear sky
303,Russell,US,32.3502,-85.1999,87.4,94,0,0.0,clear sky
304,Valente,BR,-11.4122,-39.4619,62.37,95,2,6.58,clear sky
305,Augusto Correa,BR,-1.0217,-46.635,72.19,96,60,2.68,broken clouds
306,La Paz,BO,-16.5,-68.15,42.78,24,0,2.3,clear sky
307,Mehamn,NO,71.0357,27.8492,40.91,81,100,8.05,overcast clouds
308,Banamba,ML,13.55,-7.45,79.63,59,99,8.01,overcast clouds
309,Basak,PH,6.7274,124.1512,81.7,71,87,4.45,overcast clouds
310,Galesburg,US,40.9478,-90.3712,76.96,78,0,0.0,clear sky
311,Santa Marta,CO,11.2408,-74.199,82.45,74,75,12.66,broken clouds
312,Eugene,US,44.0521,-123.0867,64.15,61,100,6.91,overcast clouds
313,Ocos,GT,14.5094,-92.1933,78.98,85,100,6.33,overcast clouds
314,Ambilobe,MG,-13.2,49.05,68.54,92,79,3.15,broken clouds
315,Calabasas,US,34.1578,-118.6384,77.2,72,0,14.97,clear sky
316,Rawson,AR,-43.3002,-65.1023,41.61,83,63,29.19,broken clouds
317,Ulety,RU,51.3572,112.4849,79.14,42,100,1.54,overcast clouds
318,Kavaratti,IN,10.5669,72.642,82.35,77,98,12.57,overcast clouds
319,Sechura,PE,-5.5569,-80.8222,63.25,77,27,15.23,scattered clouds
320,Machiques,VE,10.0644,-72.545,75.27,91,96,4.97,overcast clouds
321,Mattawa,US,46.7379,-119.9028,74.01,34,99,1.99,overcast clouds
322,Boa Vista,BR,2.8197,-60.6733,78.78,83,75,9.22,broken clouds
323,Plettenberg Bay,ZA,-34.0527,23.3716,55.09,46,60,7.81,broken clouds
324,Narasannapeta,IN,18.4167,84.05,88.16,66,93,12.5,overcast clouds
325,Whitehorse,CA,60.7161,-135.0538,72.37,28,75,6.91,broken clouds
326,Pontianak,ID,-0.0333,109.3333,78.78,89,75,12.66,broken clouds
327,Shenjiamen,CN,29.9576,122.298,74.34,91,98,10.8,light rain
328,Brae,GB,60.3964,-1.353,54.12,94,100,13.85,light rain
329,Nadym,RU,65.5333,72.5167,59.76,36,58,13.76,broken clouds
330,Arlit,NE,18.7369,7.3853,86.81,30,97,4.61,overcast clouds
331,Provideniya,RU,64.3833,-173.3,44.71,76,0,11.18,clear sky
332,Champawat,IN,29.3333,80.1,78.49,44,3,0.67,clear sky
333,Aykhal,RU,66.0,111.5,67.71,43,56,5.99,broken clouds
334,Noumea,NC,-22.2763,166.4572,75.99,99,96,4.76,moderate rain
335,Laramie,US,41.3114,-105.5911,75.58,23,0,18.41,clear sky
336,Rantauprapat,ID,2.1,99.8333,85.89,64,93,1.79,overcast clouds
337,Bangsund,NO,64.3968,11.3949,51.76,96,100,3.44,overcast clouds
338,Matagami,CA,49.7502,-77.6328,66.31,59,100,10.36,overcast clouds
339,Mount Isa,AU,-20.7333,139.5,74.97,27,0,12.66,clear sky
340,Teknaf,BD,20.8624,92.3058,79.9,86,100,7.99,overcast clouds
341,Thinadhoo,MV,0.5333,72.9333,83.77,71,97,8.05,overcast clouds
342,Karratha,AU,-20.7377,116.8463,80.47,33,94,13.51,overcast clouds
343,Husavik,IS,66.0449,-17.3389,52.0,67,100,8.08,overcast clouds
344,Emerald,AU,-23.5333,148.1667,71.35,41,93,9.24,overcast clouds
345,Kiunga,PG,-6.1219,141.2906,85.39,72,70,2.1,broken clouds
346,Chino Valley,US,34.7575,-112.4538,93.15,13,0,13.8,clear sky
347,Kloulklubed,PW,7.0419,134.2556,84.7,68,100,4.65,overcast clouds
348,Kommunar,RU,59.6206,30.39,54.52,75,100,7.25,overcast clouds
349,Qasigiannguit,GL,68.8193,-51.1922,39.45,92,100,3.76,overcast clouds
350,Clyde River,CA,70.4692,-68.5914,30.43,100,100,34.52,snow
351,Pisco,PE,-13.7,-76.2167,63.01,77,3,8.05,mist
352,Flin Flon,CA,54.7682,-101.865,52.57,75,84,9.78,broken clouds
353,Lebu,CL,-37.6167,-73.65,50.22,85,96,7.4,overcast clouds
354,Athabasca,CA,54.7169,-113.2854,58.41,86,100,11.61,overcast clouds
355,Ouallam,NE,14.3188,2.0866,82.38,56,62,6.62,broken clouds
356,Catamarca,AR,-28.4696,-65.7852,47.59,55,0,1.92,clear sky
357,Jacareacanga,BR,-6.2222,-57.7528,71.96,76,76,1.68,broken clouds
358,Sar-E Pul,AF,35.8333,66.1667,71.65,29,15,3.06,few clouds
359,Port Lincoln,AU,-34.7333,135.8667,59.11,65,0,8.88,clear sky
360,Talnakh,RU,69.4865,88.3972,54.21,88,100,6.67,light rain
361,Simao,CN,22.7886,100.9748,68.67,93,100,2.46,light rain
362,Sokolo,ML,14.7328,-6.1219,87.75,48,100,4.79,overcast clouds
363,Sinnamary,GF,5.3833,-52.95,77.11,84,100,4.59,overcast clouds
364,Upernavik,GL,72.7868,-56.1549,31.98,78,1,6.62,clear sky
365,Aranos,NA,-24.1333,19.1167,49.57,33,31,11.3,scattered clouds
366,Khatanga,RU,71.9667,102.5,65.19,57,100,14.47,light rain
367,Rocha,UY,-34.4833,-54.3333,52.21,93,100,2.82,overcast clouds
368,Inhambane,MZ,-23.865,35.3833,59.7,71,0,6.93,clear sky
369,Broken Hill,AU,-31.95,141.4333,58.84,45,62,8.5,broken clouds
370,Coquimbo,CL,-29.9533,-71.3436,51.53,93,0,6.91,clear sky
371,Blackwater,AU,-23.5833,148.8833,71.22,39,97,5.97,overcast clouds
372,Lompoc,US,34.6391,-120.4579,68.56,73,0,25.99,clear sky
373,Bull Savanna,JM,17.8868,-77.5902,77.23,77,100,2.35,overcast clouds
374,Herat,AF,34.5,62.0,78.76,30,91,25.08,overcast clouds
375,Romny,UA,50.751,33.4747,59.68,70,100,4.5,overcast clouds
376,Khorixas,NA,-20.3667,14.9667,56.89,42,3,0.72,clear sky
377,Richards Bay,ZA,-28.783,32.0377,53.24,68,9,5.48,clear sky
378,Xinpu,CN,34.5997,119.1594,95.68,35,45,3.78,scattered clouds
379,Jakar,BT,27.5492,90.7525,60.26,93,100,3.2,overcast clouds
380,Alice,US,27.7523,-98.0697,82.29,74,0,10.36,clear sky
381,Tevriz,RU,57.509,72.4042,63.97,49,100,11.34,overcast clouds
382,Straumen,NO,63.8709,11.2999,53.6,95,88,3.91,overcast clouds
383,Alofi,NU,-19.0595,-169.9187,80.49,74,75,16.11,broken clouds
384,Salalah,OM,17.0151,54.0924,86.09,84,100,5.75,overcast clouds
385,Jaleswar,NP,26.6471,85.8008,88.75,62,54,3.98,broken clouds
386,Montrose,US,38.4166,-108.2673,78.37,18,0,5.3,clear sky
387,Port-Gentil,GA,-0.7193,8.7815,75.02,78,100,9.26,overcast clouds
388,Astana,KZ,51.1801,71.446,62.55,67,40,8.95,scattered clouds
389,Itoman,JP,26.1247,127.6694,82.78,89,75,16.11,broken clouds
390,Auki,SB,-8.7676,160.7034,84.47,66,10,2.93,clear sky
391,Barreirinhas,BR,-2.7469,-42.8264,75.06,86,23,3.85,few clouds
392,Tonj,SS,7.2737,28.6822,74.7,73,61,1.83,broken clouds
393,Angoche,MZ,-16.2325,39.9086,73.44,74,2,10.31,clear sky
394,Suntar,RU,62.1444,117.6319,67.33,37,0,8.14,clear sky
395,Sissach,CH,47.4641,7.8089,64.71,78,33,1.01,scattered clouds
396,Moss Point,US,30.4116,-88.5345,84.25,94,0,0.0,clear sky
397,Lorengau,PG,-2.0226,147.2712,83.34,77,100,9.4,overcast clouds
398,Kayerkan,RU,69.3497,87.7602,53.53,100,100,6.15,light rain
399,Kalmunai,LK,7.4167,81.8167,79.81,78,100,5.17,overcast clouds
400,Sistranda,NO,63.7256,8.834,49.96,94,100,9.01,overcast clouds
401,Cairns,AU,-16.9167,145.7667,79.11,69,100,10.36,overcast clouds
402,Ous,RU,60.9058,61.5186,69.87,54,16,5.41,few clouds
403,Hasaki,JP,35.7333,140.8333,77.29,81,100,10.42,light rain
404,Dingle,PH,10.9995,122.6711,87.87,65,54,7.16,broken clouds
405,Kungurtug,RU,50.5994,97.5228,65.41,62,99,2.91,overcast clouds
406,Talara,PE,-4.5772,-81.2719,64.04,80,51,21.41,broken clouds
407,Broome,US,42.2506,-75.833,71.85,86,0,8.05,mist
408,Mazyr,BY,52.0495,29.2456,55.02,83,65,3.85,broken clouds
409,Dunedin,NZ,-45.8742,170.5036,46.53,69,20,5.39,few clouds
410,Kismayo,SO,-0.3582,42.5454,77.88,82,90,15.28,light rain
411,Exu,BR,-7.5119,-39.7242,64.45,95,82,3.51,broken clouds
412,Baruun-Urt,MN,46.6806,113.2792,71.47,47,100,14.27,overcast clouds
413,Ko Samui,TH,9.5357,99.9357,89.51,70,20,0.0,few clouds
414,Takoradi,GH,4.8845,-1.7554,74.91,91,100,10.07,light rain
415,George Town,MY,5.4112,100.3354,85.93,87,20,2.3,few clouds
416,La Palma,US,33.8464,-118.0467,77.81,78,20,10.36,few clouds
417,Sola,VU,-13.8833,167.55,81.28,77,54,18.07,broken clouds
418,Tabas,IR,33.5959,56.9244,87.3,23,0,4.0,clear sky
419,Khani,GE,41.9563,42.9566,56.77,85,58,1.74,broken clouds
420,Esmeraldas,BR,-19.7625,-44.3139,59.86,71,0,3.53,clear sky
421,Tooele,US,40.5308,-112.2983,93.85,15,0,11.16,clear sky
422,Dunda,TZ,-8.1167,34.25,57.7,93,2,2.55,clear sky
423,Darnah,LY,32.767,22.6367,72.77,86,0,13.2,clear sky
424,Tecoanapa,MX,16.5167,-98.75,77.83,81,100,2.1,overcast clouds
425,Chambar,PK,25.2931,68.812,89.2,59,0,22.64,clear sky
426,Arman,RU,59.7,150.1667,50.02,94,100,3.62,overcast clouds
427,Seoul,KR,37.5683,126.9778,74.77,68,75,3.44,mist
428,Omsukchan,RU,62.5333,155.8,48.6,81,100,3.87,light rain
429,Kinshasa,CD,-4.3246,15.3215,71.92,83,83,0.0,broken clouds
430,Betare Oya,CM,5.6,14.0833,65.97,99,100,2.46,light rain
431,Bilibino,RU,68.0546,166.4372,61.97,26,34,2.86,scattered clouds
432,Hirara,JP,24.8,125.2833,84.47,84,75,18.41,broken clouds
433,Bilma,NE,18.6853,12.9164,87.84,27,3,11.97,clear sky
434,Shingu,JP,33.7333,135.9833,79.83,64,100,3.27,overcast clouds
435,Balkhash,KZ,46.844,74.9804,74.01,46,0,0.0,clear sky
436,Perpignan,FR,42.75,2.75,73.72,64,0,6.91,clear sky
437,Yaan,NG,7.3833,8.5667,70.88,97,100,3.56,overcast clouds
438,Caibarien,CU,22.5206,-79.4669,79.92,83,57,9.69,broken clouds
439,Sarkand,KZ,45.41,79.9186,73.67,34,1,5.19,clear sky
440,Ulaangom,MN,49.9811,92.0667,69.3,43,89,5.39,overcast clouds
441,Mata,PT,40.683,-7.4592,62.76,69,49,3.15,scattered clouds
442,Ormara,PK,25.2088,64.6357,83.35,81,100,10.69,overcast clouds
443,Poum,NC,-20.2333,164.0167,79.11,79,100,15.7,overcast clouds
444,Nusaybin,TR,37.0778,41.2178,81.09,29,0,5.79,clear sky
445,Acarau,BR,-2.8856,-40.12,75.43,85,17,10.78,few clouds
446,Gazalkent,UZ,41.5581,69.7708,82.6,32,47,4.5,scattered clouds
447,Sal Rei,CV,16.1833,-22.9167,73.11,82,48,16.55,scattered clouds
448,Changping,CN,40.2186,116.2197,80.24,41,69,5.3,broken clouds
449,Nanortalik,GL,60.1432,-45.2371,38.37,84,97,5.7,overcast clouds
450,Dengfeng,CN,34.4553,113.0281,98.31,19,0,6.98,clear sky
451,Codrington,AU,-38.2667,141.9667,58.19,73,100,6.53,overcast clouds
452,Laizhou,CN,37.1717,119.9214,84.13,56,54,11.34,broken clouds
